CAS	Formula	lambda
14701-21-4	Ag+	0.00619
22537-23-1	Al+3	0.0061
22541-12-4	Ba+2	0.00636
22537-20-8	Be+2	0.0045
14127-61-8	Ca+2	0.005947
22537-48-0	Cd+2	0.0054
18923-26-7	Ce+3	0.00698
22541-53-3	Co+2	0.0055
14695-95-5	[Co(NH3)6]+3	0.01019
14878-41-2	[Co(en)3]+3	0.00747
747348-22-7	[Co2(trien)3]+6	0.0069
16065-83-1	Cr+3	0.0067
18459-37-5	Cs+	0.00772
15158-11-9	Cu+2	0.00536
14464-47-2	D+	0.02499
22541-21-5	Dy+3	0.00656
18472-30-5	Er+3	0.00659
22541-18-0	Eu+3	0.00678
15438-31-0	Fe+2	0.0054
20074-52-6	Fe+3	0.0068
22541-19-1	Gd+3	0.00673
12408-02-5	H+	0.034965
14302-87-5	Hg+2	0.00686
14302-87-5	Hg+2	0.00636
22541-22-6	Ho+3	0.00663
24203-36-9	K+	0.007348
16096-89-2	La+3	0.00697
17341-24-1	Li+	0.003866
22537-22-0	Mg+2	0.0053
16397-91-4	Mn+2	0.00535
14798-03-9	NH4+	0.00735
18500-32-8	N2H5+	0.0059
17341-25-2	Na+	0.005008
14913-52-1	Nd+3	0.00694
14701-22-5	Ni+2	0.00496
12312-87-7	[Ni2(trien)3]+4	0.0052
14280-50-3	Pb+2	0.0071
22541-14-6	Pr+3	0.00695
22541-36-2	Ra+2	0.00668
22537-38-8	Rb+	0.00778
22537-29-7	Sc+3	0.00647
22541-17-9	Sm+3	0.00685
22537-39-9	Sr+2	0.00594
22537-56-0	Tl+	0.00747
22541-23-7	Tm+3	0.00654
16637-16-4	UO2+2	0.0032
22537-40-2	Y+3	0.0062
18923-27-8	Yb+3	0.00656
23713-49-7	Zn+2	0.00528
14950-87-9	Au(CN)2-	0.005
22806-79-7	Au(CN)4-	0.0036
4358-26-3	B(C6H5)4-	0.0021
24959-67-9	Br-	0.00781
14522-80-6	Br3-	0.0043
15541-45-4	BrO3-	0.00557
57-12-5	CN-	0.0078
661-20-1	CNO-	0.00646
3812-32-6	CO3-2	0.00693
16887-00-6	Cl-	0.007631
14998-27-7	ClO2-	0.0052
14866-68-3	ClO3-	0.00646
14797-73-0	ClO4-	0.00673
14897-04-2	[Co(CN)6]-3	0.00989
13907-45-4	CrO4-2	0.0085
16984-48-8	F-	0.00554
13408-63-4	[Fe(CN)6]-4	0.01104
13408-62-3	[Fe(CN)6]-3	0.01009
16518-47-1	H2AsO4-	0.0034
71-52-3	HCO3-	0.00445
18130-74-0	HF2-	0.0075
14066-19-4	HPO4-2	0.0057
14066-20-7	H2PO4-	0.0036
15460-68-1	H2PO2-	0.0046
15035-72-0	HS-	0.0065
15181-46-1	HSO3-	0.0058
14996-02-2	HSO4-	0.0052
29703-19-3	H2SbO4-	0.0031
20461-54-5	I-	0.00768
15454-31-6	IO3-	0.00405
15056-35-6	IO4-	0.00545
14333-13-2	MnO4-	0.00613
14259-85-9	MoO4-2	0.00745
17997-40-9	N(CN)2-	0.00545
14797-65-0	NO2-	0.00718
14797-55-8	NO3-	0.007142
15853-39-1	NH2SO3-	0.00483
14343-69-2	N3-	0.0069
661-20-1	OCN-	0.00646
13587-54-7	OD-	0.0119
14280-30-9	OH-	0.0198
16919-18-9	PF6-	0.00569
15181-43-8	PO3F-2	0.00633
14265-44-2	PO4-3	0.00928
14000-31-8	P2O7-4	0.0096
15705-55-2	P3O9-3	0.00836
14127-68-5	P3O10-5	0.0109
14333-24-5	ReO4-	0.00549
302-04-5	SCN-	0.0066
14265-45-3	SO3-2	0.0072
14808-79-8	SO4-2	0.008
14383-50-7	S2O3-2	0.0085
14844-07-6	S2O4-2	0.00665
14781-81-8	S2O6-2	0.0093
15092-81-6	S2O8-2	0.0086
29872-00-2	Sb(OH)6-	0.00319
5749-48-4	SeCN-	0.00647
14124-68-6	SeO4-2	0.00757
14311-52-5	WO4-2	0.0069
