CASRN	Chemical	Tt	Tc	A	B	C
624-64-6	2-Butene 	134.24	428.6	65.7073	-35.7601	35.1472
513-35-9	2-Methyl-2-butene 	139.38	470	61.9436	-8.01527	1.86758
7440-37-1	Argon 	83.78	150.86	36.5753	2.8548	-4.98179
7637-07-2	Boron trifluoride 	146.35	260.9	86.3054	-77.9247	64.732
71-36-3	Butanol 	184.51	563.1	91.0205	-71.1293	20.5502
463-58-1	Carbonyl sulfide 	135	378.8	13.3881	243.384	-287.984
7782-50-5	Chlorine 	171.55	417.15	113.859	-150.176	149.759
110-83-8	Cyclohexene 	169.64	560.4	75.7659	-36.9578	39.6202
74-85-1	Ethylene 	104	282.34	57.2321	-18.4469	10.5975
7782-41-4	Fluorine 	53	144.12	56.6943	-62.8587	61.7236
7440-59-7	Helium-4 	0.95	5.2	0.748802	-0.197998	-0.196369
13465-07-1	Hydrogen disulfide 	185.15	572	150.697	-102.91	56.7258
74-82-8	Methane 	90.69	190.564	44.3367	-22.8336	24.2632
2696-92-6	Nitrosyl chloride 	208.65	440.65	93.1687	71.5313	-160.169
10024-97-2	Nitrous oxide 	170.85	309.57	86.5665	-65.5685	83.7755
7783-09-7	Hydrogen telluride 	146.35	473.15	208.219	-588.542	714.72
7439-90-9	Krypton 	116.55	209.35	44.8111	5.5394	-12.755
7440-01-9	Neon 	24.5	44.4	15.7404	2.29731	-6.81185
7789-25-5	Nitrosyl fluoride 	139.15	330.6	28.1114	166.372	90.4485
1333-74-0	Normal hydrogen 	13.95	33.2	6.4906	0.51694	-2.6287
7440-63-3	Xenon 	161.25	289.75	49.1907	13.2643	-10.4283
7727-37-9	Nitrogen 	63.29	126.09	27.5107	5.744	-3.0719
17778-80-2	Oxygen 	54.35	154.58	38.2261	5.6316	-7.7405
630-08-0	Carbon monoxide 	66.15	132.91	35.0998	-9.3076	-1.7393
124-38-9	Carbon dioxide 	216.55	304.1	75.9675	-5.0913	3.9907
7446-09-5	Sulfur dioxide 	197.65	430.8	101.6572	-20.501	-5.7962
10102-43-9	Nitric oxide 	112.15	180	58.6304	97.8722	-33.6739
7664-39-3	Hydrogen fluoride 	190.15	461	25.4706	22.8483	-16.8896
10035-10-6	Hydrogen bromide 	187.15	363.2	74.0521	20.1043	-30.2571
7783-07-5	Hydrogenselenide 	209.15	411	121.7175	-118.8804	51.1701
7664-41-7	Ammonia 	195.45	405.5	104.1403	24.5169	-61.1567
7783-60-0	Sulfur tetrafluoride 	152.15	364	79.2098	-23.2043	2.3185
75-44-5	Carbonyl chloride 	134.95	455	76.8219	-13.2836	-2.5768
10022-50-1	Nitryl fluoride 	134.15	349.5	59.3349	17.2981	-19.8885
74-84-0	Ethane 	89.89	305.42	53.6025	-7.605	3.0714
74-98-6	Propane 	85.47	369.82	55.1756	-7.86	2.1428
106-97-8	Butane 	134.86	425.16	55.0822	-2.5019	-3.7758
75-28-5	Isobutane 	113.54	408.15	50.0587	4.0246	-3.34
109-66-0	Pentane	143.47	469.69	56.2267	-3.7496	-2.9861
110-54-3	Hexane 	177.83	507.5	52.2937	6.1685	-3.5869
142-82-5	Heptane 	182.55	540.3	54.1778	-0.75856	3.9897
111-65-9	Octane 	216.37	568.8	56.5399	10.4928	8.4723
115-07-1	Propylene 	87.9	364.85	58.6555	-3.782	-8.8762
106-98-9	1-Butene 	134.86	425.16	56.3208	1.762	-3.858
115-11-7	2-Methylpropene 	132.8	417.9	55.4105	0.30275	1.4928
74-86-2	Acetylene 	192.35	308.33	62.1097	26.0757	-50.9508
74-99-7	Propyne 	170.45	402.38	59.0221	10.7105	-17.9898
142-29-0	Cyclopentene	138.07	506	68.1927	-3.1949	-0.3066
71-43-2	Benzene	278.68	562.16	76.6304	15.7455	15.0819
67-56-1	Methanol 	175.59	512.64	122.6257	-199.4044	153.3744
64-17-5	Ethanol 	159	513.92	111.4452	-146.0229	89.5703
71-23-8	Propanaol 	147	536.78	107.1238	-133.8128	84.4357
71-41-0	Pentanol 	195	588.15	83.4602	-46.9235	1.3739
111-27-3	Hexanol 	229	611	84.7167	-62.4496	26.8171
111-70-6	Heptanol 	240.35	633	82.3757	-58.1057	25.4571
111-87-5	Octanol 	258	652.5	83.0798	-64.7335	35.295
143-08-8	Nonanol 	268	671	83.5043	-65.2637	35.2271
112-30-1	Decanol 	280.05	687	87.3144	-79.4003	49.0394
115-10-6	Dimethyl ether 	131.66	400	65.9957	-7.1673	-4.2062
60-29-7	Ethyl ether 	157	466.74	61.0417	-6.7908	0.14046
141-78-6	Ethyl acetate 	190	523.3	70.049	-6.8887	1.5038
64-19-7	Acetic acid 	290	592.7	91.902	-91.7035	77.5072
19287-45-7	Diborane 	104.15	289.8	38.0417	29.7743	-24.2605
7732-18-5	Water	273.16	647.126	232.713514	-140.18645	-4.890098
